,comp_@FoxNews,comp_@NYTimes,comp_@bbc,comp_@cbs,comp_@cnn,pos_@bbc,neg_@bbc,neu_@bbc,pos_@cnn,neg_@cnn,neu_@cnn,pos_@NYTimes,neg_@NYTimes,neu_@NYTimes,pos_@FoxNews,neg_@FoxNews,neu_@FoxNews,pos_@cbs,neg_@cbs,neu_@cbs
80,-0.8402,0.4215,0.0,0.6115,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.141,0.0,0.859,0.0,0.417,0.583,0.266,0.0,0.734
81,-0.802,0.0,0.2023,0.6696,0.5859,0.101,0.0,0.899,0.241,0.0,0.759,0.0,0.0,1.0,0.0,0.474,0.526,0.219,0.0,0.781
82,-0.7003,-0.25,0.8617,0.3612,-0.3818,0.311,0.0,0.689,0.0,0.178,0.822,0.0,0.182,0.818,0.0,0.326,0.674,0.143,0.0,0.857
83,-0.6249,0.2732,0.0,0.539,-0.5423,0.0,0.0,1.0,0.0,0.231,0.769,0.1,0.0,0.9,0.091,0.287,0.622,0.179,0.0,0.821
84,0.0,-0.5859,0.0,0.2244,-0.6124,0.0,0.0,1.0,0.0,0.417,0.583,0.0,0.286,0.714,0.0,0.0,1.0,0.083,0.0,0.917
85,0.0,0.2732,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.174,0.0,0.826,0.0,0.0,1.0,0.0,0.0,1.0
86,-0.128,0.0,0.0,0.4926,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.117,0.147,0.736,0.117,0.0,0.883
87,-0.5423,0.6124,0.25,0.1275,-0.6249,0.095,0.0,0.905,0.0,0.186,0.814,0.208,0.0,0.792,0.0,0.163,0.837,0.113,0.092,0.795
88,-0.4019,-0.5574,0.0,0.4215,-0.1226,0.0,0.0,1.0,0.0,0.066,0.934,0.135,0.315,0.55,0.087,0.229,0.684,0.177,0.0,0.823
89,-0.5423,0.3612,0.4579,0.8658,0.0,0.154,0.067,0.779,0.0,0.0,1.0,0.209,0.117,0.675,0.0,0.259,0.741,0.447,0.0,0.553
90,-0.7003,0.5994,-0.6908,0.0,-0.6597,0.0,0.217,0.783,0.114,0.318,0.568,0.246,0.0,0.754,0.0,0.326,0.674,0.0,0.0,1.0
91,-0.4404,0.2732,0.7096,0.8625,0.3182,0.371,0.0,0.629,0.119,0.0,0.881,0.174,0.0,0.826,0.0,0.172,0.828,0.336,0.0,0.664
92,0.0,-0.1027,0.0,0.4926,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.132,0.188,0.68,0.0,0.0,1.0,0.132,0.0,0.868
93,0.0,0.0258,-0.765,-0.2023,-0.4588,0.0,0.32,0.68,0.0,0.16,0.84,0.061,0.0,0.939,0.0,0.0,1.0,0.15,0.23,0.619
94,0.0,-0.2263,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.067,0.113,0.821,0.0,0.0,1.0,0.0,0.0,1.0
95,0.7783,-0.1531,0.0,0.6705,-0.4019,0.0,0.0,1.0,0.0,0.153,0.847,0.0,0.074,0.926,0.343,0.0,0.657,0.244,0.0,0.756
96,-0.7506,0.0,0.0028,0.3818,-0.802,0.159,0.118,0.724,0.0,0.444,0.556,0.0,0.0,1.0,0.0,0.314,0.686,0.167,0.0,0.833
97,-0.4404,0.0,0.4588,0.4404,-0.3182,0.25,0.0,0.75,0.126,0.246,0.628,0.0,0.0,1.0,0.106,0.233,0.661,0.116,0.0,0.884
98,0.0,0.3254,-0.2263,0.0,0.0,0.0,0.119,0.881,0.0,0.0,1.0,0.104,0.0,0.896,0.0,0.0,1.0,0.0,0.0,1.0
99,-0.7184,-0.4404,0.0,0.7096,-0.4588,0.0,0.0,1.0,0.0,0.25,0.75,0.134,0.26,0.606,0.0,0.273,0.727,0.247,0.0,0.753
